Binomial,Range size (sq km),Log10 range size,Body mass (g),Log10 body mass,Population density (individuals/ha),Log10 population density,Study area (ha),Log10 study area,iqr mean annual temperature,iqr precipitation,iqr seasonality,iqr altitude,iqr NPP,iqr solar radiation,Diet (Proxy for Trophic level),Biogeographical realm,Range size within biogeographical realm (sq km),Population density and study area reference,Taxonomic group
Litocranius_walleri,1418350.357,6.152,38804.370,4.589,0.018,-1.740,315.000,2.498,36.000,255.000,576.750,637.750,0.497,2.694,Herbivore,Afrotropic,1418348.835,"Njoroge, P., Yego, R., Muchane, M., Githiru, M., Njeri, T., & Giani, A. (2009). A survey of the large and medium sized mammals of Arawale National Reserve, Kenya. Journal of East African Natural History, 98(1), 119-128.",Mammals
Lophocebus_albigena,1461519.111,6.165,7418.710,3.870,0.050,-1.301,25.000,1.398,13.000,214.000,261.000,278.000,0.101,12.394,Herbivore,Afrotropic,1461455.335,"Blanchard, E. (2015). The Effects of Hunting on a Forest Animal Community in Gabon. MSc thesis, Duke University.",Mammals
Lophuromys_flavopunctatus,2115069.851,6.325,57.070,1.756,159.184,2.202,0.490,-0.310,37.000,544.000,412.000,802.250,0.172,13.267,Omnivore,Afrotropic,2115070.009,"Yihune, M., & Bekele, A. (2012). Diversity, Distribution and Abundance of Rodent Community in the Afro-alpine Habitats of the Simien Mountains National Park, Ethiopia. International Journal of Zoological Research, 8(4), 137.",Mammals
Loxodonta_africana,3332221.699,6.523,3824539.930,6.583,0.059,-1.233,5500.000,3.740,33.000,668.000,1691.000,626.000,0.294,13.483,Herbivore,Afrotropic,3332176.850,"Dunham, K. M. . The Effect of Drought on the Large Mammal Populations of Zambezi Riverine Woodlands. Journal of Zoology 234:489-526.",Mammals
Lycaon_pictus,1272437.562,6.105,21999.990,4.342,0.000,-3.347,315.000,2.498,37.000,547.000,2372.000,612.000,0.588,10.269,Carnivore,Afrotropic,1237980.472,"Njoroge, P., Yego, R., Muchane, M., Githiru, M., Njeri, T., & Giani, A. (2009). A survey of the large and medium sized mammals of Arawale National Reserve, Kenya. Journal of East African Natural History, 98(1), 119-128.",Mammals
Madoqua_kirkii,1336483.045,6.126,4833.400,3.684,0.039,-1.415,315.000,2.498,31.000,433.750,969.000,652.750,0.536,7.354,Herbivore,Afrotropic,1336473.635,"Njoroge, P., Yego, R., Muchane, M., Githiru, M., Njeri, T., & Giani, A. (2009). A survey of the large and medium sized mammals of Arawale National Reserve, Kenya. Journal of East African Natural History, 98(1), 119-128.",Mammals
Mastomys_erythroleucus,7097705.602,6.851,64.070,1.807,15.000,1.176,0.360,-0.444,26.000,761.000,1345.000,300.000,0.549,13.729,Omnivore,Afrotropic,7063839.483,"Chekol, T., Bekele, A., & Balakrishnan, M. (2012). Population density, biomass and habitat association of rodents and insectivores in Pawe area, northwestern Ethiopia. Tropical Ecology, 53(1), 15-24.",Mammals
Mastomys_natalensis,16655251.570,7.222,41.850,1.622,11.467,1.059,0.490,-0.310,45.000,763.000,1546.000,721.000,0.388,14.808,Omnivore,Afrotropic,16654602.540,"Linzey, A. V., and M. H. Kesner. . Small mammals of a woodland-savannah ecosystem in Zimbabwe .1. Density and habitat occupancy patterns. Journal of Zoology 243:137-152.",Mammals
Miopithecus_talapoin,389545.468,5.591,1248.860,3.097,0.005,-2.310,10.000,1.000,20.000,604.250,874.250,417.000,0.149,5.021,Omnivore,Afrotropic,389525.117,"Massussi, J. A., Djieto-Lordon, C., Njiokou, F., Laveissière, C., & van der Ploeg, J. D. (2009). Influence of habitat and seasonal variation on wild mammal diversity and distribution with special reference to the Trypanosoma brucei gambiense host-reservoir in Bipindi (Cameroon). Acta tropica, 112(3), 308-315.",Mammals
Mus_minutoides,4215733.968,6.625,6.430,0.808,0.200,-0.699,0.490,-0.310,40.000,565.000,1977.000,685.000,0.232,10.046,Omnivore,Afrotropic,4215153.780,"Linzey, A. V., and M. H. Kesner. . Small mammals of a woodland-savannah ecosystem in Zimbabwe .1. Density and habitat occupancy patterns. Journal of Zoology 243:137-152.",Mammals
Myosorex_varius,424247.934,5.628,11.680,1.067,13.250,1.122,1.890,0.276,30.000,287.000,1013.000,1064.000,0.285,6.933,Carnivore,Afrotropic,423866.326,"Wirminghaus, J. O., and M. R. Perrin. 1993. Seasonal changes in density, demography and body composition of small mammals in a southern temperate forest. Journal of Zoology 229:303-318.",Mammals
Nandinia_binotata,6021549.217,6.780,2167.200,3.336,0.001,-3.071,10.000,1.000,20.000,497.000,641.500,480.000,0.195,12.594,Omnivore,Afrotropic,6021421.479,"Massussi, J. A., Djieto-Lordon, C., Njiokou, F., Laveissière, C., & van der Ploeg, J. D. (2009). Influence of habitat and seasonal variation on wild mammal diversity and distribution with special reference to the Trypanosoma brucei gambiense host-reservoir in Bipindi (Cameroon). Acta tropica, 112(3), 308-315.",Mammals
Nanger_granti,785166.487,5.895,55464.460,4.744,0.005,-2.310,315.000,2.498,55.000,324.000,476.500,848.500,0.466,6.425,Herbivore,Afrotropic,785166.549,"Njoroge, P., Yego, R., Muchane, M., Githiru, M., Njeri, T., & Giani, A. (2009). A survey of the large and medium sized mammals of Arawale National Reserve, Kenya. Journal of East African Natural History, 98(1), 119-128.",Mammals
Oryx_gazella,1765965.534,6.247,188404.450,5.275,0.005,-2.301,415000.000,5.618,26.000,227.000,1491.500,268.500,0.332,6.858,Herbivore,Afrotropic,1765846.049,"Leuthold, W., & Leuthold, B. M. (1976). Density And Biomass Of Ungulates In Tsavo East National Park, Kenya. African Journal Of Ecology, 14(1), 49-58.",Mammals
Otomys_angoniensis,595014.245,5.775,100.640,2.003,0.300,-0.523,0.490,-0.310,36.000,415.000,1872.000,512.000,0.293,10.421,Herbivore,Afrotropic,594959.447,"Linzey, A. V., and M. H. Kesner. . Small mammals of a woodland-savannah ecosystem in Zimbabwe .1. Density and habitat occupancy patterns. Journal of Zoology 243:137-152.",Mammals
Ourebia_ourebi,7496702.277,6.875,17186.090,4.235,0.018,-1.742,20676.000,4.315,55.000,443.000,1136.000,780.000,0.262,7.752,Herbivore,Afrotropic,7496595.472,"Lavieren, L. V., & Esser, J. D. (1980). Numbers, distribution and habitat preference of large mammals in Bouba Ndjida National Park, Cameroon. African Journal of Ecology, 18(2‐3), 141-153.",Mammals
Pan_paniscus,416943.388,5.620,35119.950,4.546,0.012,-1.939,37.500,1.574,5.000,212.500,95.000,95.500,0.026,2.425,Herbivore,Afrotropic,416943.388,"Van Krunkelsven, E. (2001). Density estimation of bonobos (Pan paniscus) in Salonga National Park, Congo. Biological Conservation, 99(3), 387-391.",Mammals
Pan_troglodytes,2489781.737,6.396,45000.000,4.653,0.008,-2.089,5570.833,3.746,16.000,344.500,503.000,338.000,0.190,10.456,Herbivore,Afrotropic,2488917.399,"Matthews, A., & Matthews, A. (2004). Survey of gorillas (Gorilla gorilla gorilla) and chimpanzees (Pan troglodytes troglodytes) in Southwestern Cameroon. Primates, 45(1), 15-24.",Mammals
Panthera_leo,5241618.941,6.719,158623.930,5.200,0.000,-3.699,315.000,2.498,47.000,582.000,1335.500,682.000,0.315,8.875,Carnivore,Afrotropic,5237701.985,"Njoroge, P., Yego, R., Muchane, M., Githiru, M., Njeri, T., & Giani, A. (2009). A survey of the large and medium sized mammals of Arawale National Reserve, Kenya. Journal of East African Natural History, 98(1), 119-128.",Mammals
Panthera_pardus,22186703.140,7.346,52399.990,4.719,0.001,-3.076,41430.000,4.617,61.000,911.000,3365.000,765.000,0.538,17.296,Carnivore,Afrotropic,15630191.690,"Borah, J., Sharma, T., Das, D., Rabha, N., Kakati, N., Basumatary, A.,  Ahmed, F. & Vattakaven, J. (2014). Abundance and density estimates for common leopard Panthera pardus and clouded leopard Neofelis nebulosa in Manas National Park, Assam, India. Oryx, 48(01), 149-155.",Mammals
Papio_anubis,7826350.711,6.894,17728.560,4.249,0.019,-1.724,100000.000,5.000,33.000,733.000,1298.000,431.500,0.544,11.600,Omnivore,Afrotropic,7716550.029,"Green, A. A. (1979). Density Estimate Of The Larger Mammals Of Arli National Park, Upper Volta. Mammalia, 43(1), 59-70.",Mammals
Paraxerus_cepapi,2692237.774,6.430,222.850,2.348,14.525,1.162,0.490,-0.310,24.000,426.000,958.750,393.750,0.298,7.296,Omnivore,Afrotropic,2692107.108,"Linzey, A. V., and M. H. Kesner. . Small mammals of a woodland-savannah ecosystem in Zimbabwe .1. Density and habitat occupancy patterns. Journal of Zoology 243:137-152.",Mammals
Phacochoerus_aethiopicus,704571.615,5.848,75607.520,4.879,0.006,-2.218,20676.000,4.315,28.750,169.000,359.750,519.500,0.362,2.854,Omnivore,Afrotropic,704563.762,"Lavieren, L. V., & Esser, J. D. (1980). Numbers, distribution and habitat preference of large mammals in Bouba Ndjida National Park, Cameroon. African Journal of Ecology, 18(2‐3), 141-153.",Mammals
Philantomba_monticola,6372957.442,6.804,4896.050,3.690,0.164,-0.784,25000.000,4.398,33.000,535.750,986.000,627.000,0.175,14.437,Herbivore,Afrotropic,6372594.161,"Nakashima, Y., Inoue, E., & Akomo-Okoue, E. F. (2013). Population density and habitat preferences of forest duikers in Moukalaba-Doudou National Park, Gabon. African Zoology, 48(2), 395-399.",Mammals
Potamochoerus_porcus,4997476.081,6.699,70000.310,4.845,0.002,-2.721,10.000,1.000,16.000,424.000,642.000,295.000,0.226,10.325,Omnivore,Afrotropic,4997390.074,"Massussi, J. A., Djieto-Lordon, C., Njiokou, F., Laveissière, C., & van der Ploeg, J. D. (2009). Influence of habitat and seasonal variation on wild mammal diversity and distribution with special reference to the Trypanosoma brucei gambiense host-reservoir in Bipindi (Cameroon). Acta tropica, 112(3), 308-315.",Mammals
Raphicerus_campestris,4047879.178,6.607,11661.530,4.067,0.003,-2.523,1079.000,3.033,35.000,355.000,1655.250,351.000,0.536,9.342,Herbivore,Afrotropic,4047526.525,"Ndiweni, T., Zisadza-Gandiwa, P., Ncube, H., Mashapa, C., & Gandiwa, E. (2015). Vigilance Behavior And Population Density Of Common Large Herbivores In A Southern African Savanna. Japs, Journal Of Animal And Plant Sciences, 25(3), 876-883.",Mammals
Redunca_redunca,5901364.296,6.771,43288.950,4.636,0.017,-1.762,20676.000,4.315,37.000,479.000,862.000,559.000,0.285,7.919,Herbivore,Afrotropic,5901280.589,"Lavieren, L. V., & Esser, J. D. (1980). Numbers, distribution and habitat preference of large mammals in Bouba Ndjida National Park, Cameroon. African Journal of Ecology, 18(2‐3), 141-153.",Mammals
Rhabdomys_pumilio,3275628.326,6.515,40.730,1.610,14.300,1.155,1.890,0.276,34.000,459.000,2023.000,393.000,0.625,14.283,Omnivore,Afrotropic,3275190.892,"Wirminghaus, J. O., and M. R. Perrin. . Seasonal changes in density, demography and body composition of small mammals in a southern temperate forest. Journal of Zoology 229:303-318.",Mammals
Rhynchocyon_chrysopygus,4899.839,3.690,535.200,2.729,0.490,-0.310,0.600,-0.222,17.500,175.750,97.500,88.750,0.000,2.583,Carnivore,Afrotropic,4899.839,"FitzGibbon, C. D. (1994). The distribution and abundance of the golden-rumped elephant-shrew Rhynchocyon chrysopygus in Kenyan coastal forests. Biological Conservation, 67(2), 153-160.",Mammals
Saccostomus_campestris,5347563.552,6.728,50.330,1.702,0.400,-0.398,0.490,-0.310,27.000,618.000,1637.000,480.000,0.500,11.217,Omnivore,Afrotropic,5347099.870,"Linzey, A. V., and M. H. Kesner. . Small mammals of a woodland-savannah ecosystem in Zimbabwe .1. Density and habitat occupancy patterns. Journal of Zoology 243:137-152.",Mammals
Saccostomus_mearnsi,667841.878,5.825,64.910,1.812,38.500,1.585,4.000,0.602,58.500,365.000,475.000,864.500,0.506,8.508,Omnivore,Afrotropic,667842.134,"Keesing, F., & Crawford, T. (2001). Impacts of density and large mammals on space use by the pouched mouse (Saccostomus mearnsi) in central Kenya. Journal of Tropical Ecology, 17(03), 465-472.",Mammals
Steatomys_pratensis,3477943.667,6.541,30.580,1.485,0.100,-1.000,0.490,-0.310,39.000,830.000,2353.750,594.750,0.355,13.604,Omnivore,Afrotropic,3477797.365,"Linzey, A. V., and M. H. Kesner. . Small mammals of a woodland-savannah ecosystem in Zimbabwe .1. Density and habitat occupancy patterns. Journal of Zoology 243:137-152.",Mammals
Sylvicapra_grimmia,13575937.130,7.133,15639.150,4.194,0.007,-2.140,20676.000,4.315,53.000,611.000,1735.000,760.000,0.393,10.235,Herbivore,Afrotropic,13575145.610,"Lavieren, L. V., & Esser, J. D. (1980). Numbers, distribution and habitat preference of large mammals in Bouba Ndjida National Park, Cameroon. African Journal of Ecology, 18(2‐3), 141-153.",Mammals
Syncerus_caffer,8442938.751,6.926,592665.980,5.773,0.042,-1.382,5500.000,3.740,38.000,773.000,1211.500,686.000,0.276,17.788,Herbivore,Afrotropic,8442648.809,"Dunham, K. M. . The Effect of Drought on the Large Mammal Populations of Zambezi Riverine Woodlands. Journal of Zoology 234:489-526.",Mammals
Tachyoryctes_splendens,680054.888,5.833,227.130,2.356,12.245,1.088,0.490,-0.310,41.000,453.000,516.000,698.000,0.211,7.333,Herbivore,Afrotropic,680054.810,"Yihune, M., & Bekele, A. (2012). Diversity, Distribution and Abundance of Rodent Community in the Afro-alpine Habitats of the Simien Mountains National Park, Ethiopia. International Journal of Zoological Research, 8(4), 137.",Mammals
Thallomys_paedulcus,5096527.949,6.707,77.700,1.890,0.150,-0.824,0.490,-0.310,33.000,484.000,1498.000,734.000,0.278,7.535,Herbivore,Afrotropic,5096213.467,"Linzey, A. V., and M. H. Kesner. . Small mammals of a woodland-savannah ecosystem in Zimbabwe .1. Density and habitat occupancy patterns. Journal of Zoology 243:137-152.",Mammals
Thryonomys_swinderianus,7541427.863,6.877,3750.850,3.574,0.006,-2.218,10.000,1.000,37.000,686.000,1462.000,754.000,0.211,15.552,Herbivore,Afrotropic,7540984.394,"Massussi, J. A., Djieto-Lordon, C., Njiokou, F., Laveissière, C., & van der Ploeg, J. D. (2009). Influence of habitat and seasonal variation on wild mammal diversity and distribution with special reference to the Trypanosoma brucei gambiense host-reservoir in Bipindi (Cameroon). Acta tropica, 112(3), 308-315.",Mammals
Tragelaphus_angasii,197904.452,5.296,87616.760,4.943,0.000,-3.523,1079.000,3.033,19.000,217.500,427.000,286.500,0.180,1.513,Herbivore,Afrotropic,197889.300,"Ndiweni, T., Zisadza-Gandiwa, P., Ncube, H., Mashapa, C., & Gandiwa, E. (2015). Vigilance Behavior And Population Density Of Common Large Herbivores In A Southern African Savanna. Japs, Journal Of Animal And Plant Sciences, 25(3), 876-883.",Mammals
Tragelaphus_imberbis,1488947.762,6.173,94320.390,4.975,0.009,-2.051,315.000,2.498,42.000,267.000,460.000,668.750,0.539,4.225,Herbivore,Afrotropic,1488944.950,"Njoroge, P., Yego, R., Muchane, M., Githiru, M., Njeri, T., & Giani, A. (2009). A survey of the large and medium sized mammals of Arawale National Reserve, Kenya. Journal of East African Natural History, 98(1), 119-128.",Mammals
Tragelaphus_scriptus,12063886.710,7.081,43250.390,4.636,0.004,-2.398,5500.000,3.740,46.000,531.000,1251.000,747.000,0.248,11.787,Herbivore,Afrotropic,12063190.160,"Dunham, K. M. . The Effect of Drought on the Large Mammal Populations of Zambezi Riverine Woodlands. Journal of Zoology 234:489-526.",Mammals
Tragelaphus_spekii,4392169.210,6.643,75554.250,4.878,0.002,-2.620,10.000,1.000,26.000,541.000,687.000,603.000,0.193,15.158,Herbivore,Afrotropic,4392101.441,"Massussi, J. A., Djieto-Lordon, C., Njiokou, F., Laveissière, C., & van der Ploeg, J. D. (2009). Influence of habitat and seasonal variation on wild mammal diversity and distribution with special reference to the Trypanosoma brucei gambiense host-reservoir in Bipindi (Cameroon). Acta tropica, 112(3), 308-315.",Mammals
Tragelaphus_strepsiceros,6085429.445,6.784,206056.410,5.314,0.019,-1.721,5500.000,3.740,38.000,509.000,1853.000,615.000,0.554,7.683,Herbivore,Afrotropic,6082685.344,"Dunham, K. M. . The Effect of Drought on the Large Mammal Populations of Zambezi Riverine Woodlands. Journal of Zoology 234:489-526.",Mammals
Acrobates_pygmaeus,1200801.982,6.079,13.840,1.141,0.280,-0.553,100.000,2.000,64.000,376.500,1454.000,301.500,0.336,10.206,Omnivore,Australasia,1199091.518,"Braithwaith, L. W., Dudzinski, M.L. and Turner. J (1983) Studies on the arboreal marsupial fauna of eucalypt forests being harvested for woodpulp at Eden, N.S.W. II. Relationship between the fauna density, richness and diversity, and measured variables of the habitat. Australian Wildlife Research, 10, 231-247.",Mammals
Aepyprymnus_rufescens,566491.847,5.753,2810.310,3.449,0.361,-0.442,40.000,1.602,30.000,299.500,1032.000,218.000,0.247,4.917,Herbivore,Australasia,565849.554,"Johnson, C. N., Vernes, K., & Payne, A. (2005). Demography in relation to population density in two herbivorous marsupials: testing for source–sink dynamics versus independent regulation of population size. Oecologia, 143(1), 70-76.",Mammals
Antechinus_flavipes,1008912.280,6.004,44.330,1.647,0.110,-0.959,45.000,1.653,43.000,289.250,1388.000,222.500,0.306,10.563,Carnivore,Australasia,1007972.643,"Watt, A. (1997). Population ecology and reproductive seasonality in three species of Antechinus (Marsupialia: Dasyuridae) in the wet tropics of Queensland. Wildlife Research, 24(5), 531-547.",Mammals
Antechinus_stuartii,118344.865,5.073,29.010,1.463,0.495,-0.305,45.000,1.653,40.500,345.500,652.500,604.000,0.125,2.392,Carnivore,Australasia,117865.907,"Watt, A. (1997). Population ecology and reproductive seasonality in three species of Antechinus (Marsupialia: Dasyuridae) in the wet tropics of Queensland. Wildlife Research, 24(5), 531-547.",Mammals
Bettongia_lesueur,979.818,2.991,1447.270,3.161,0.051,-1.290,6000.000,3.778,49.500,26.250,1454.500,52.750,0.223,0.000,Omnivore,Australasia,884.856,"Finlayson, G. R., & Moseby, K. E. (2004). Managing confined populations: the influence of density on the home range and habitat use of reintroduced burrowing bettongs (Bettongia lesueur). Wildlife Research, 31(4), 457-463.",Mammals
Bettongia_penicillata,4058.257,3.608,1184.350,3.073,0.825,-0.084,5.000,0.699,10.750,171.500,870.500,60.000,0.000,0.000,Omnivore,Australasia,3966.539,"Wayne, A. F., Maxwell, M. A., Ward, C. G., Vellios, C. V., Ward, B. G., Liddelow, G. L., Wilson, I., Wayne, J.C. & Williams, M. R. (2013). Importance of getting the numbers right: quantifying the rapid and substantial decline of an abundant marsupial, Bettongia penicillata. Wildlife Research, 40(3), 169-183.",Mammals
Burramys_parvus,1197.752,3.078,44.270,1.646,11.000,1.041,1.154,0.062,14.750,105.750,139.500,235.250,0.021,2.942,Omnivore,Australasia,1197.752,"Broome, L. S. (2001). Density, home range, seasonal movements and habitat use of the mountain pygmy‐possum Burramys parvus (Marsupialia: Burramyidae) at Mount Blue Cow, Kosciuszko National Park. Austral Ecology, 26(3), 275-292.",Mammals
Dasyurus_maculatus,464971.475,5.667,3284.150,3.516,0.003,-2.523,5500.000,3.740,54.000,456.500,1429.000,511.250,0.171,10.250,Carnivore,Australasia,463677.592,"Glen, A. S. (2008). Population attributes of the spotted-tailed quoll (Dasyurus maculatus) in north-eastern New South Wales. Australian journal of zoology, 56(2), 137-142.",Mammals
Dendrolagus_lumholtzi,7382.864,3.868,6649.970,3.823,1.450,0.161,20.000,1.301,18.250,478.250,379.500,322.500,0.292,2.000,Herbivore,Australasia,7381.638,"Newell, G. R. (1999). Home range and habitat use by Lumholtz’s tree-kangaroo (Dendrolagus lumholtzi) within a rainforest fragment in north Queensland. Wildlife Research, 26(2), 129-145.",Mammals
Macropus_robustus,6349536.565,6.803,25978.920,4.415,0.111,-0.954,87.500,1.942,55.000,346.000,1424.000,262.000,0.460,8.488,Herbivore,Australasia,6345523.717,"Clancy, T. F., & Croft, D. B. (1992). Population dynamics of the common wallaroo (Macropus robustus erubescens) in arid New South Wales. Wildlife Research, 19(1), 1-15.",Mammals
Myrmecobius_fasciatus,2502.513,3.398,511.440,2.709,0.015,-1.830,1000.000,3.000,10.750,296.500,858.000,79.500,0.000,3.708,Carnivore,Australasia,2502.513,"Vieira, E. M., Finlayson, G. R., & Dickman, C. R. (2007). Habitat use and density of numbats (Myrmecobius fasciatus) reintroduced in an area of mallee vegetation, New South Wales. Australian Mammalogy, 29(1), 17-24.",Mammals
Petaurus_breviceps,2761436.830,6.441,120.760,2.082,4.500,0.653,20.000,1.301,93.000,1514.250,3730.250,335.000,0.423,22.558,Omnivore,Australasia,2753910.273,"Suckling, G. C. . Population Ecology of the Sugar Glider, Petaurus breviceps, in a System of Fragmented Habitats. Australian Wildlife Research 11:49-75.",Mammals
Petaurus_gracilis,3309.366,3.520,360.630,2.557,0.235,-0.629,72.500,1.860,8.250,436.000,111.750,204.500,0.397,1.479,Herbivore,Australasia,3296.243,"Jackson, S. M. (2000). Population dynamics and life history of the mahogany glider, Petaurus gracilis, and the sugar glider, Petaurus breviceps, in north Queensland. Wildlife Research, 27(1), 21-37.",Mammals
Petaurus_norfolcensis,788561.111,5.897,230.000,2.362,1.055,0.023,47.000,1.672,58.000,326.500,1406.750,288.000,0.247,7.117,Omnivore,Australasia,787618.632,"Sharpe, D. J., & Goldingay, R. L. (2010). Population ecology of the nectar-feeding squirrel glider (Petaurus norfolcensis) in remnant forest in subtropical Australia. Wildlife Research, 37(2), 77-88.",Mammals
Setonix_brachyurus,18067.592,4.257,3027.670,3.481,2.600,0.415,9.313,0.969,6.000,154.000,668.000,148.000,0.008,6.075,Herbivore,Australasia,17947.156,"Hayward, M. W., Paul, J., Dillon, M. J., & Fox, B. J. (2003). Local population structure of a naturally occurring metapopulation of the quokka (Setonix brachyurus Macropodidae: Marsupialia). Biological conservation, 110(3), 343-355.",Mammals
Trichosurus_vulpecula,2704133.367,6.432,2685.390,3.429,0.771,-0.113,40.000,1.602,80.000,471.000,2064.000,234.000,0.413,13.692,Omnivore,Australasia,2697884.968,"Johnson, C. N., Vernes, K., & Payne, A. (2005). Demography in relation to population density in two herbivorous marsupials: testing for source–sink dynamics versus independent regulation of population size. Oecologia, 143(1), 70-76.",Mammals
Wallabia_bicolor,1213038.147,6.084,14999.950,4.176,0.450,-0.347,0.005,-2.301,59.000,352.000,1660.250,274.750,0.312,10.790,Herbivore,Australasia,1211245.056,"Floyd, R. B. (1980). Density of Wallabia bicolor (Desmarest)(Marsupialia: Macropodidae) in eucalypt plantations of different ages. Wildlife Research, 7(3), 333-337.",Mammals
Wyulda_squamicaudata,82870.718,4.918,1799.210,3.255,3.450,0.538,8.400,0.924,11.000,326.000,540.000,239.000,0.153,1.612,Omnivore,Australasia,82221.523,"Runcie, M. J. (1999). Movements, dens and feeding behaviour of the tropical scaly-tailed possum (Wyulda squamicaudata). Wildlife Research, 26(3), 367-373.",Mammals
Zyzomys_argurus,1188372.865,6.075,40.420,1.607,7.550,0.878,2.250,0.352,29.000,480.000,1682.000,249.000,0.439,7.717,Omnivore,Australasia,1186027.531,"Bradley, A. J., C. M. Kemper, D. J. Kitchener, W. F. Humphreys, R. A. How, and L. H. Schmitt. 1988. Population Ecology and Physiology of the Common Rock Rat, Zyzomys argurus (Rodentia, Muridae) in Tropical Northwestern Australia. Journal of Mammalogy 69:749-764.",Mammals
Axis_axis,2361083.400,6.373,69499.990,4.842,0.727,-0.139,2310.000,3.364,18.000,512.750,2087.750,359.750,0.267,7.283,Herbivore,Indo-Malay,2359250.947,"Dave, C., & Jhala, Y. (2011). Is competition with livestock detrimental for native wild ungulates? A case study of chital (Axis axis) in Gir Forest, India. Journal of Tropical Ecology, 27(03), 239-247.",Mammals
Axis_porcinus,362985.838,5.560,37448.290,4.573,0.013,-1.903,104000.000,5.017,14.000,1113.000,1642.000,144.000,0.284,6.192,Herbivore,Indo-Malay,362685.565,"Iqbal, M., Prince, A., Khan, M. A., Nayyer, A. Q., & Akhtar, M. (2013) Ecology and Population Status of Hog Deer from Narowal, Pakistan. International Research Journal on Biological Sciences, 2, 19-24.",Mammals
Bos_javanicus,183345.586,5.263,635974.340,5.803,0.013,-1.893,113533.300,5.055,23.000,755.500,1050.000,385.500,0.205,6.454,Herbivore,Indo-Malay,180481.764,"Gray, T. N., Prum, S., Pin, C., & Phan, C. (2012). Distance sampling reveals Cambodia's Eastern Plains Landscape supports the largest global population of the Endangered banteng Bos javanicus. Oryx, 46(04), 563-566.",Mammals
Boselaphus_tragocamelus,2289572.863,6.360,182253.040,5.261,0.006,-2.237,100800.000,5.003,17.000,532.750,2208.750,304.000,0.286,5.496,Herbivore,Indo-Malay,2288977.765,"Khan, J. A., Chellam, R., Rodgers, W. A., & Johnsingh, A. J. T. (1996). Ungulate densities and biomass in the tropical dry deciduous forests of Gir, Gujarat, India. Journal of Tropical Ecology, 12(01), 149-162.",Mammals
Gazella_bennettii,2764388.177,6.442,18916.670,4.277,0.024,-1.620,100800.000,5.003,51.000,679.000,2972.500,688.750,0.847,8.227,Herbivore,Indo-Malay,1583608.055,"Khan, J. A., Chellam, R., Rodgers, W. A., & Johnsingh, A. J. T. (1996). Ungulate densities and biomass in the tropical dry deciduous forests of Gir, Gujarat, India. Journal of Tropical Ecology, 12(01), 149-162.",Mammals
Herpestes_javanicus,6759635.315,6.830,750.000,2.875,0.084,-1.076,0.050,-1.301,61.000,1450.000,4702.000,866.000,1.049,17.813,Carnivore,Indo-Malay,4553715.193,"Mahmood, T., Hussain, I., & Nadeem, M. S. (2011). Population estimates, habitat preference and the diet of small Indian mongoose (Herpestes javanicus) in Potohar Plateau, Pakistan. Pakistan J. Zool, 43(1), 103-111.",Mammals
Hylobates_lar,638113.184,5.805,5578.610,3.747,0.004,-2.413,2124.000,3.327,30.000,1129.500,1703.250,592.250,0.171,8.177,Herbivore,Indo-Malay,635518.550,"Southwick, C. H., & Cadigan Jr, F. C. (1972). Population studies of Malaysian primates. Primates, 13(1), 1-18.",Mammals
Lepus_nigricollis,3475610.628,6.541,2294.250,3.361,0.013,-1.903,40.000,1.602,18.000,749.000,2685.500,331.000,0.339,9.367,Herbivore,Indo-Malay,3427606.048,"Manakadan, R., & Rahmani, A. R. (2000). Population Densities Of The Blacknaped Hare Lepus Nigricollis Nigricollis At Rollapadu Wildlife Sanctuary, Kurnool District, Andhra Pradesh (With Six Text-Figures). Journal-Bombay Natural History Society, 97(1), 3-14.",Mammals
Macaca_fascicularis,2697102.897,6.431,4569.320,3.660,0.004,-2.433,2124.000,3.327,20.000,1016.000,935.000,317.000,0.300,7.990,Carnivore,Indo-Malay,2615346.214,"Southwick, C. H., & Cadigan Jr, F. C. (1972). Population studies of Malaysian primates. Primates, 13(1), 1-18.",Mammals
Macaca_mulatta,7513074.329,6.876,6455.190,3.810,0.065,-1.187,31200.000,4.494,95.000,795.500,3082.000,1022.000,0.334,19.692,Omnivore,Indo-Malay,5054244.771,"Khan, M. M. H. (2012). Population and prey of the Bengal Tiger Panthera tigris tigris (Linnaeus, 1758)(Carnivora: Felidae) in the Sundarbans, Bangladesh. Journal of Threatened Taxa, 4(2), 2370-2380.",Mammals
Macaca_nemestrina,1366583.848,6.136,7820.780,3.893,0.001,-3.299,2124.000,3.327,18.000,725.500,118.500,324.750,0.153,5.185,Herbivore,Indo-Malay,1360956.734,"Southwick, C. H., & Cadigan Jr, F. C. (1972). Population studies of Malaysian primates. Primates, 13(1), 1-18.",Mammals
Muntiacus_muntjak,1494965.687,6.175,17611.590,4.246,0.011,-1.949,925.000,2.966,19.750,746.000,129.000,343.000,0.185,5.987,Herbivore,Indo-Malay,1484287.076,"Hameed, W., & Mian, A. (2009). Population features of barking deer (Muntiacus muntjak) in Margalla Hills National Park, Pakistan. Pakistan Journal of Zoology, 41(2), 137-142.",Mammals
